query,model,quality_score,latency,cost
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model2,0.8719,594.70,1.8157
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model3,0.8519,754.44,2.3510
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model4,0.8451,871.40,2.9370
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model5,0.9111,921.06,3.5720
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model6,0.8735,822.46,4.2388
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model7,0.8957,1056.89,5.6007
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model8,0.9329,1029.54,6.6508
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model9,0.9378,1222.90,8.9333
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model10,0.9438,1359.88,11.3834
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model1,0.7609,655.60,1.8031
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model2,0.8824,787.68,2.1693
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model3,0.7689,873.91,2.7931
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model4,0.7440,924.30,3.4010
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model5,0.8688,1017.19,4.4934
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model6,0.7971,1185.82,5.0506
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model7,0.8316,1184.45,6.7030
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model8,0.8991,1387.18,8.0434
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model9,0.9070,1521.90,10.3728
将下面中文翻译成英文：系统应先满足质量阈值，再选择成本最低的模型。 要求包含2个要点，控制在148字以内。,Model10,0.9138,1480.77,13.4114
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model1,0.8232,835.67,1.7367
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model2,0.7432,817.71,2.0499
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model3,0.8194,977.65,2.5773
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model4,0.7219,1040.15,3.2322
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model5,0.8065,1141.56,3.8999
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model6,0.7930,1212.56,4.9269
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model7,0.7955,1456.50,6.4543
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model8,0.8452,1457.74,7.8270
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model9,0.8668,1604.89,9.5099
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含3个要点，控制在165字以内。,Model10,0.8805,1899.29,12.4393
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model1,0.8626,615.02,1.3140
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model2,0.8714,657.98,1.6235
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model3,0.8579,761.51,1.9493
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model4,0.8832,740.23,2.5134
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model5,0.9051,940.37,3.1131
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model6,0.9027,956.21,3.8676
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model7,0.9188,1175.17,4.8332
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model8,0.9239,1163.55,5.9518
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model9,0.9358,1293.94,7.5457
请解释成本控制的核心原理，并给出两个应用场景。 要求包含4个要点，控制在182字以内。,Model10,0.9400,1314.21,9.1084
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model1,0.5244,737.84,1.5409
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model2,0.5644,877.78,1.8055
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model3,0.6203,900.01,2.3403
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model4,0.8428,1075.82,2.9086
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model5,0.7945,969.74,3.6848
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model6,0.8234,1173.47,4.5754
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model7,0.8710,1360.23,5.8175
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model8,0.8528,1419.52,7.0084
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model9,0.8773,1571.04,9.4309
"已知一组数据为 8,87,25,3，计算平均值并说明步骤。 要求包含5个要点，控制在199字以内。",Model10,0.8942,1737.33,10.8805
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model1,0.4168,897.35,1.9347
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model2,0.4633,924.87,2.2745
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model3,0.7837,965.23,2.9943
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model4,0.6668,1250.47,3.7047
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model5,0.6945,1067.28,4.1335
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model6,0.8177,1355.49,5.5223
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model7,0.7866,1537.53,7.0682
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model8,0.7501,1724.26,8.4841
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model9,0.8189,1764.80,11.1555
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=8 ORDER BY created_at DESC; 要求包含2个要点，控制在216字以内。,Model10,0.8528,2185.04,13.9191
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model1,0.8868,672.12,1.5670
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model2,0.8393,714.07,2.0506
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model3,0.8163,854.09,2.5483
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model4,0.8078,973.48,3.1517
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model5,0.8951,898.86,3.6856
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model6,0.8479,1072.23,4.7018
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model7,0.8709,1152.82,6.1962
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model8,0.9163,1199.73,7.3773
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model9,0.9266,1418.24,9.9502
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含3个要点，控制在233字以内。,Model10,0.9313,1451.19,12.2918
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model1,0.7209,748.96,1.9733
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model2,0.8530,902.80,2.2914
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model3,0.7285,1019.13,2.9625
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model4,0.6923,1057.29,3.6995
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model5,0.8437,1081.67,4.2991
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model6,0.7574,1143.78,5.6215
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model7,0.8019,1435.94,7.1484
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model8,0.8704,1418.25,8.4393
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model9,0.8866,1406.57,11.3008
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含4个要点，控制在250字以内。",Model10,0.8923,1945.27,13.7778
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model1,0.9150,653.05,1.3181
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model2,0.8776,660.80,1.5950
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model3,0.9172,719.82,1.9628
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model4,0.8493,766.03,2.5023
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model5,0.9082,826.84,3.1561
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model6,0.9021,939.08,3.7476
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model7,0.8991,995.48,4.8012
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model8,0.9267,1136.16,5.6725
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model9,0.9386,1132.77,7.8278
把以下内容整理为 key-value：客户=远航制造；问题=接口超时；优先级=高。 要求包含5个要点，控制在267字以内。,Model10,0.9451,1354.37,9.3926
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model1,0.8278,701.96,1.4437
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model2,0.8374,786.92,1.6632
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model3,0.8294,864.42,2.2580
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model4,0.8618,967.25,2.7239
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model5,0.8840,1044.93,3.3281
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model6,0.8785,1061.38,4.1910
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model7,0.8980,1215.11,5.2427
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model8,0.9073,1203.28,6.5689
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model9,0.9177,1468.71,8.2383
比较大模型路由与大模型路由的主要区别，并给出适用条件。 要求包含2个要点，控制在284字以内。,Model10,0.9234,1567.89,10.4653
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model1,0.4583,798.08,1.7587
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model2,0.5212,911.85,2.0448
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model3,0.5664,965.24,2.7311
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model4,0.8129,1079.53,3.0875
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model5,0.7476,1183.86,4.0027
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model6,0.7776,1388.64,4.9331
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model7,0.8526,1487.10,6.1069
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model8,0.8159,1700.39,7.9053
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model9,0.8542,1494.47,9.9740
一个项目成功概率为0.2，连续两次至少成功一次的概率是多少？ 要求包含3个要点，控制在81字以内。,Model10,0.8734,1893.01,11.9135
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model1,0.6354,666.18,1.3539
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model2,0.6649,707.88,1.5792
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model3,0.8988,807.79,2.0247
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model4,0.8304,929.83,2.4614
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model5,0.8414,964.73,3.2066
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model6,0.9131,1144.30,3.8252
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model7,0.9008,1088.17,4.9594
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model8,0.8828,1054.32,6.1179
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model9,0.9170,1323.70,7.8185
修复这段伪代码中的边界错误，并说明时间复杂度。 要求包含4个要点，控制在98字以内。,Model10,0.9275,1509.61,9.6094
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model1,0.8607,655.07,1.7020
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model2,0.8022,826.93,2.1092
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model3,0.7829,869.52,2.8175
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model4,0.7621,878.32,3.3705
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model5,0.8673,1122.20,3.9102
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model6,0.8121,1109.77,5.0158
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model7,0.8412,1233.60,6.7112
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model8,0.8976,1313.31,7.9110
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model9,0.9040,1465.96,9.9412
将这段技术说明概括为不超过120字的摘要。 要求包含5个要点，控制在115字以内。,Model10,0.9085,1643.12,12.5167
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model1,0.6722,754.49,2.0851
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model2,0.8203,869.91,2.3102
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model3,0.6787,1019.92,3.2086
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model4,0.6352,1066.41,3.8603
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model5,0.8031,984.66,4.7272
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model6,0.7109,1300.64,5.9458
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model7,0.7560,1402.90,7.3222
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model8,0.8367,1488.94,9.2924
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model9,0.8529,1774.86,11.5993
"Translate into Chinese: The router predicts quality, cost and latency for every candidate model. 要求包含2个要点，控制在132字以内。",Model10,0.8658,2005.38,14.4792
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model1,0.8987,696.55,1.5249
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model2,0.8500,754.21,1.7634
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model3,0.8910,804.42,2.3833
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model4,0.8309,834.41,2.9348
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model5,0.8868,927.40,3.5717
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model6,0.8799,978.62,4.3475
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model7,0.8801,1092.24,5.4868
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model8,0.9071,1249.26,6.9892
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model9,0.9221,1305.04,8.7040
从订单描述中抽取订单号、金额、日期，并按 JSON 返回：订单A2，金额19元，日期2026-09-28。 要求包含3个要点，控制在149字以内。,Model10,0.9324,1701.81,10.9666
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model1,0.7924,811.23,1.5422
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model2,0.8085,862.16,1.8357
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model3,0.7878,925.15,2.3934
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model4,0.8243,1097.76,2.9932
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model5,0.8616,1021.76,3.5293
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model6,0.8513,1195.87,4.2957
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model7,0.8714,1251.51,5.7123
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model8,0.8847,1440.97,6.4550
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model9,0.8993,1600.88,9.4714
为什么成本控制在实际系统中重要？请用通俗语言回答。 要求包含4个要点，控制在166字以内。,Model10,0.9068,1852.26,10.8567
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model1,0.6722,621.48,1.1863
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model2,0.7132,628.99,1.4871
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model3,0.7599,763.13,1.9354
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model4,0.9087,864.89,2.3849
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model5,0.8770,922.67,2.9021
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model6,0.8968,947.34,3.6803
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model7,0.9325,1058.06,4.9222
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model8,0.9127,1130.28,5.8113
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model9,0.9294,1374.35,7.4599
"已知一组数据为 8,50,52,17，计算平均值并说明步骤。 要求包含5个要点，控制在183字以内。",Model10,0.9413,1475.29,8.8696
